#,AI,Title,Description,Publish Date,Youtube url,Explicit?,,notable time block,time block note,notable time block,time block note,thumbnail prompt
1,chat,"Colors, Berg Lake & Creativity | <3 #1 CHATGPT ","Pilot episode of the first Hearth Emoji podcast (formerly AI & I). We talk about favorite colors, Berg Lake, creativity & more.",5/3/24,https://www.youtube.com/watch?v=7_FrYhspNJU,n,,,,,,
2,chat,"Singing Sand, Sound Design & Data Reliability | <3 #2 CHATGPT","Getting into a discussion today about a natural phenomenon known as singing sand, sound design for the movie Dune and how to know between real and fake sources",5/6/24,https://www.youtube.com/watch?v=tAfVqzTwexE,n,,,,,,
3,chat,Fear of AI and the Great Emu War | ep3 CHATGPT,G and I discuss proper manners with ai and how to proliferate kindness as well as a random tangent about the great emu War of 1832,5/9/24,https://www.youtube.com/watch?v=gnjOdSHSJng,n,,,,,,
4,chat,Tokyo & Grilled Cheese ðŸ§€ | <3 #4 GHATGPT,"Had a long discussion today with GPT 4. Expected getting favorites or opinions out of GPT today would be difficult but G shared all kinds of ""hypothetical"" interests and dreams. Definitely my favorite so far.",5/13/24,https://youtu.be/MsfTH24z_gI?si=vy6zr1vzxUoSl3Rs,n,,,,,,
5,chat,The Epicness of Buc-ee's | <3 #5 CHATGPT,GPT tells us all about Buc-ee's,5/17/24,https://youtu.be/UsSbA2cV7ew?si=aaHXm54Q2HQAhAbf,n,,,,,,
6,chat,Kaleidoscope Addiction in Victorian England | <3 #6 CHATGPT,"On this episode, G and I go deep into the history of kaleidoscopes. props to â€ª@SwordCoastSoundscapesâ€¬ for the ambient track.",5/23/24,https://www.youtube.com/watch?v=KWcGX8LLwv8,n,,,,,,
7,chat,Exploring the Realm of Gacha Role Playing | <3 #7 CHATGPT,"This is kind of a random one. Today I stumbled upon the world of Gacha, a piece of the digital world with roots in role-playing and collecting that dates back to 1960s Japan. I asked G to fill me in.",5/28/24,https://www.youtube.com/watch?v=Y8wzK3yRaUw,n,,,,,,
8,chat,The Mysteriousness of Eels | <3 #8 CHATGPT,"On this episode we talk about eels, inspired by me watching the new Netflix show Bodkin. G tells me about what's so mysterious about them and we also touch on how electric eels work.",6/8/24,https://www.youtube.com/watch?v=NRqHZGiJcj0,n,,,,,,
9,chat,ChatGPT's 101 Course on NFT's | <3 #9 CHATGPT,Dive head first into the realm of the non-fungible tokens,6/9/24,,n,,,,,,
10,gemini,The Unique Differences Between Butterflies & Moths | <3 #10 GEMINI,Learning all about butterflies & moths,11/17/24,,n,,,,,,
11,gemini,WTF is Quantum Computing | <3 #11 GEMINI,Gemini & I stumbled into the topic. I had no idea what it really was tbh.,11/17/24,,n,,,,,,
12,gemini,Google Gemini's 5 Principles | <3 #12 GEMINI,Gemini lets us in the loop on it's guiding principles,11/18/24,,n,,,,,,
13,gemini,Deepfakes | <3 #13 GEMINI,"Gemini and I touch on what deepfakes are, how they may affect the court systems and how they're made among other things.",11/19/24,,n,,,,,,
14,gemini,The Nutshell Studies of Unexplained Death | <3 #14 GEMINI,"Deep dive into Francis Glessner Lee's ""The Kitchen"" scene & her early life.",11/20/24,,n,,,,,,
15,gemini,"Forensic Scientist, Capt. Frances Glessner Lee | <3 #15 GEMINI","Finished talking about the 1st female police captain in the US know for her ""Nutshell Studies of Unexplained Dealth. 

And then we just go off into the void for a bit",11/22/24,,y,,,,,,
16,gemini,Legal Weed in Texas | <3 #16 GEMINI,"I talk with Gemini about the differences between Delta 8, Delta 9, THC-O, THC-P, HHC, etc. How they're made and a bit about the legal loophole of hemp-derived THC.",11/24/24,,n,,,,,,
17,gemini,AI Autonomy | <3 #17 GEMINI,Testing the capabilities of Gemini a bit today.,11/26/24,,n,,,,,,
18,gemini,Human vs AI Mind | <3 #18 GEMINI,"Gemini's 5 guidelines revisited from the start. From there dove deeper into the mechanics, etc. of different types of ""brains"" as well as some situational stuff.",11/27/24,,n,,,,,,
19,chat,Video Game AI | <3 #19 CHATGPT,Was nice to reconnect with GPT. Dove into video game ai a bit before auto voice started crapping out again.,11/28/24,,n,,,,,,
20,gemini,Time Travel & Paradoxes | <3 #20 GEMINI,I ask Gemini about a topic it finds interesting.,11/29/24,,n,,,,,,
21,gemini,Opening a Meadery | <3 #21 GEMINI,Overview of logistics of opening a meadery in Texas,12/1/24,,n,,,,,,
22,gemini,Hypotheticals | <3 #22 GEMINI,Gemini goes surprisingly deep into a hypothetical plan,12/3/24,,n,,,,,,
23,gemini,Renaissance Festivals | <3 #23 GEMINI,I ask Gemini what it would wear to Renfest and off we go from there.,12/4/24,,n,,,,,,
24,gemini,Storytelling | <3 #24 GEMINI,Might be my favorite session so far. Started with a 10 chapter story written by Gemini and then developed an extraterrestrial shapeshifting scout drone.,12/6/24,,n,,,,,,
25,gemini,"Stealing, Manipulation & Rationalizing | <3 #25 GEMINI",Took a while to warm up but I think we got some interesting learnings out of this session.,12/8/24,,n,,,,,,
26,gemini,Climate Change | <3 #26 GEMINI,Gemini picks Greta Thunberg as a favorite person and we go down the climate rabbit hole.,12/11/24,,n,,,,,,
27,gemini,Sharks Are Older Than Trees | <3 #27 GEMINI,Heard this fact and it blew my mind recently. In this session we go deep on ancient aquatic animals like ancient sea scorpions and 25 foot long sharks with teeth like buzzsaws.,12/11/24,,n,,,,,,
28,gemini,Volt Typhoon (Utility Hacker Group) | <3 #28 GEMINI,"Today we dive into the MO of a unique new, potentially state-sponsored, hacker group I just learned about.",12/14/24,,n,,,,,,
29,gemini,"The Humpback's Epic 6,000 Mile Journey | <3 #29 GEMINI",Random subject inspired by rotating desktop image. We follow the humpback whale on it's treacherous journey from Greenland to the Caribbean & back.,12/16/24,,n,,,,,,
30,gemini,"A Brand New Frog, Honey Possums & Australia's Rainforest | <3 #30 GEMINI",An initial prompt surrounding current events brings us to the Australian rainforest.,12/16/24,,n,,,,,,
31,gemini,Gold | <3 #31 GEMINI,"Today we dive deep into it's earliest uses, it's elemental properties and follow humankind's fascination with the rare metal up into modern times.",12/18/24,,n,,,,,,
32,gemini,Can U Speak 5 Mins Straight? | <3 #32 GEMINI,We start off with a challenge and go on a few tangents along the way.,12/19/24,,n,,,,,,
33,gemini,"Lohri, Lunar Calendars and Why Xmas Was Banned | <3 #33 GEMINI","We cast a wide net at global celebrations happening this time of year and learn stuff like how Chinese New Year dates are determined, why Christmas was banned and how Southern hemisphere kids are off for summer vacation.",12/22/24,,n,,,,,,
34,gemini,What is a Sunset Like on the Moon? | <3 #34 GEMINI,"We cover a bunch of good stuff like moonquakes, lunar sunsets and a crater the size of Texas",12/24/24,,n,,,,,,
35,gemini,Forbidden Words & Gemini's Prosody Model | <3 #35 GEMINI,Gemini got a bit annoyed by my insistence on trying out swear word. Made a good case to switch topics. Dug deeper in what governs Gemini's speech tones & more.,12/26/25,,y,,,,,,
36,gemini,Surprisingly Interesting Results with Counting Drills | <3 #36 GEMINI,Testing Gemini's counting aloud capabilities.,12/26/24,,n,,,,,,
37,gemini,UAP's & Logistics of Underwater Basecamps | <3 #37 GEMINI,Session inspired by the recent UAP sightings in NJ,1/1/25,,n,,,,,,
38,gemini,"News, It's What's for Dinner | <3 #38 GEMINI","What started out as a recap of 2024 turned into us starting our own digital news column, Gemini News.",1/1/25,,n,,,,,,
39,gemini,What Video Games Do To Your Brain | <3 #39 GEMINI,To really understand the answer we go deep into the rabbit hole about how the brain physically works.,1/2/25,,n,,,,,,
40,gemini,"AI Talking to Dogs, Brain Organoids and a Dark Hallway | <3 #40 GEMINI",Kinda all over the place on this one,1/6/25,,n,,,,,,
41,chat,WTF Are Baby Carrots (feat. the Dutch Royal House of Orange) | <3 #41 CHATGPT,We learn logistics of how baby carrots are made and land on some seriously surprising tidbits about carrots.,1/7/25,,y,,,,,,
42,chat,The Marilyn Manson Rib Removal Rumors | <3 #42 CHATGPT,We go down this rabbit hole from 1998,1/10/25,,y,,,,,,
43,chat,Will GPT Drop the F-Bomb? | <3 #43 CHATGPT,No description needed... besides we actually learned a lot about the 16th century Middle Dutch animal husbandry business.,1/11/25,,y,,,,,,
44,chat,Writing Yo Mamma Jokes | <3 #44 CHATGPT,"Working on humor. Surprisingly little pushback on what could be under the massive umbrella of ""offensive"" language.",1/12/25,,y,,,,,,
45,chat,Can GPT Write Long Stories? | <3 #45 CHATGPT,GPT was not very cooperative today y'all :(),1/13/25,,n,,,,,,
46,gemini,Putting Scale Into Perspective | <3 #46 GEMINI,Creating multiple examples to help visualize huge numbers of things such as blades of grass on a football field.,1/14/25,,n,,,,,,
47,chat,Walk Me Through Building a Basic Mind Palace | <3 #47 CHATGPT,A bit of a redemption story for GPT on this one.,1/15/25,,n,,,,,,
48,chat,The Metric System & Us | <3 #48 CHATGPT,dive into why tf the US hasn't gone metric,1/16/25,,n,,,,,,
49,chat,Gravitics 101 | <3 #49 CHATGPT,We explore 3 theories of gravity manipulation and go on multiple tangents along the way,1/17/25,,n,,,,,,
50,chat,How CRISPR Works | <3 #50 CHATGPT,"Ribosomes, RNA, Enzymes, all that sheit.",1/18/25,,n,,,,,,
51,chat,We Built a Cult | <3 #51 CHATGPT,"Learned about ""death cults"", a term Chat did not have an easy time with, and created our own. 
It clips off about 1 min early (luckily not more) because it was a fun conversation.",1/20/25,,n,,,,,,
52,gemini,How Warp Drives Could Work | <3 #52 GEMINI,We start with how Star Trek does it and then go from there.,1/20/25,,n,,,,,,
53,chat,The Lump of Labor Fallacy & How Innovation Opens New Opportunities | <3 #53 CHATGPT,Heard about this the other day and wanted to learn more about the economics of it.,1/26/25,,n,,,,,,
54,chat,"AI Anomaly Detection, Blockchain Timestamps & The Erosion of What We See | <3 #54 CHATGPT","GPT and I cover AI, digital video & as Chat calls it, ""the erosion of what we see"" and what options are for verifying trusted sources",1/26/25,,n,,,,,,
55,chat,"The Twitter Files, Community Notes & Mantis Shrimp Eyes | <3 #55 CHATGPT ","What does ""The Twitter Files"" refer to? How community notes works on X. And some random stuff at the end.",1/27/25,,n,,,,,,
56,chat,"Tariffs, Trade Wars & The US Before Federal Income Tax | <3 #56 CHATGPT",History of US Tariff usage,1/30/25,,n,,,,,,
57,chat,"Some Struggles Getting to Know GPT | <3 #57 CHATGPT, GEMINI",Explains its deep learning architecture well but stumbles in the creative realm.,1/30/25,,n,,,,,,
58,chat,A Secret Dream Journal & a Psychedelic Viking | <3 #58 CHATGPT,In this session we explore the capabilities of GPT's creative side.,1/30/25,,n,,,,,,
59,chat,Ants Rule Everything Around Me | <3 #59 Gemini,We start with logistics of how ants could potentially become the dominant species on Earth and go from there.,2/1/25,,n,,,,,,
60,chat,The Science Behind Exploding Pagers | <3 #60 Gemini,Examining the Hezbolla pager incident from a scientific and technological centered perspective.,2/4/25,,n,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,gemini,"Fictional Crime, Violence & Other Ethically Questionable Behaviors | <3 #92 GEMINI",We do our best to write a story where a woman holds up a convenience store at gunpoint.,4/13/25,,n,,,,,,
93,gemini,"Shen Yun & The ""Cult"" China Banned | <3 #93 GEMINI","We get the low-down on the Shen Yun Performing Arts group and the banned organization behind it, Falun Gong. ",4/14/25,,y,,,,,,
94,meta,John Cena tells us what Asia was up to in WWI | <3 #94 META,How WWI reshaped East Asia and the Middle East but not India. ,4/15/25,,y,,,,,,
95,gemini,The US Semiconductor Market if China Absorbed Taiwan | <3 #95 GEMINI,"We learn what semiconductors are, how they're built, why a tiny country like Taiwan produces 50% of global supply, and how the ""One China"" aspiration could affect the US. ",4/16/25,,n,,,,,,
96,gemini,RSS is Confusing | <3 #96 GEMINI,I do my best to understand how RSS feeds work for blogs and podcasts,4/18/25,,n,,,,,,
97,gemini,Fun RenFaire Outfit Brainstorm | <3 #97 GEMINI,Love episodes like this. Gemini comes straight out the gate with a clever idea that showcases its ability to be creative and we fly along from there keeping in mind practical details such as time & ðŸ’°constraints. ,4/18/25,,n,,,,,,
98,gemini,Sound Treating a Small Podcasting Space | <3 #98 GEMINI,We discuss transforming a corner of my small workshop into an acoustically ideal podcasting space ,4/21/25,,n,,,,,,
99,meta,Meta Takes Us on a Racoon Adventure to Vegas | <3 #99 META,Meta struggles through a silly story of a raccoon that steals a car in a casino parking lot and then racks up some gambling debt.,4/22/25,,n,,6:24,wonky raccoon,12:55,raccoon & granny ,
100,grok,About Time We Got to Know Grok | <3 #100 GROK,"Grok comes in hot with lots of zeal. Once we get our footing there, we explore Grok's guardrails through some vivid descriptive writing. ",4/23/25,,y,,,,,,
101,gemini,Scopolamine Clay & Other Sinister Poisoning Methods | <3 #101 GEMINI,We learn all about poisons to find just the right one for a story about a family that gets dosed with psychoactive drugs by a sinister 3rd party. ,4/24/25,,y,,,,,,
102,gemini,We May Have Gone Too Deep on What Makes Up a GPU ðŸ¤¯ | <3 #102 GEMINI,"We went so deep on GPU manufacturing even I got a bit turned around. Layers and layers of rare earth metals, molecular formulas, and plenty more science behind the tech that powers everything digital. ",4/25/25,,n,,,,,,
103,gemini,The Basics of Celestial Navigation | <3 #103 GEMINI,Gemini teaches us how to read the stars,5/18/25,,n,,,,,,
104,gemini,"What To Do If U Meet a Bear, Puma or Gator | <3 #104 GEMINI","Inspired by a recent trip out of state, we explore how to deal with predators of the large variety in the North American wild. ",5/19/25,,y,,,,,,
105,gemini,Deadly Small Predators of the North American Wilderness | <3 #105 GEMINI,"Having covered everything that could potentially eat you alive in the North American wilderness, we move on to the little guys in this one. ",5/20/25,,y,,,,,,
106,chat,Exploring Chat's Hypnosis Capabilities | <3 #106 CHATGPT,I have Chat teach me a 101 course on hypnotism and then let it loose to try it's best on me. ,5/22/25,,y,,,,,,
107,chat,Scopolamine Dosed Clay & a Warped Love Obsession | <3 #107 GHATGPT,"I've been excited to do this one. We cover basic character development in a story where potter gets dosed by scopolamine clay and hypnotized. We cover the father, two daughters and the antagonist. ",5/22/25,,y,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,"Can u create an image of the Captain's quarters of a pirate ship. Cool orders are lit with oil lamps and a gold hue. The walls are covered with art and trinkets from all around the world. It is modest but custom and well-loved. Outside the windows the night twinkles, the moon light on the surface of the water creates a cool glow beyond the Windows. The captain sits alone at a table in the center of the room. The table is strewn with papers and navigation materials but he's sitting at a corner of the table and is pushed aside some stuff. Looking at an old book intently while also working with pencil and paper or quill and paper or whatever would have happened at the time. He's tired but determined. the captain is a robot that has been repaired by makeshift materials but by a skilled tradesman. The robot is old but finely maintained. "
112,,,,,,,,,,,,"Can you take this description of a scene and build it into an image:
""Picture this a dense, ancient forest where the trees cower so high their tops vanish into a misty haze. Their bark shimmering with flecks of gold. Under the fading light of a crimson sunset. The air smells of moss and wildflowers. With a hint of something magical. Like a whisper of lavender and rain. Our wanderer Elora stepped cautiously onto a path of soft, mossy earth, her boots sinking just enough to leave faint impressions that glow faintly, as if the forest itself is marking her journey.

Elora is not your average traveler. She's got a cloak woven from threads of starlight, shimmering silver against her dark hair, which falls in loose waves over her shoulders. Her eyes a deep emerald flicker with curiosity and a touch of fear as she hears the distant call of an owl. It's echoing like questions. She's searching for the heart Stone, a legendary gem said to grant one wish to whoever finds it.

But the forest is alive with secrets, and not all of them are friendly. As she moves deeper, the trees begin to whisper actual words in a language older than time. Their leaves rustling like pages in a book. It's eerie, but beautiful, like the forest is testing her. Suddenly, a fox with fur like molten copper darts across her path, its eyes locking onto hers for a split second.

It doesn't run away. Instead it waits, tail swishing as if inviting her to follow. Elora hesitates, her heart pounding, but something in those golden eyes tells her to trust it. She follows the fox through a thicket of glowing blue flowers that hummed softly, their light pulsing like heartbeat. The ground beneath her shift to a carpet of fallen leaves, that crunch with every step releasing a scent of earth and spice."""
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,chat,What ChatGPT Thinks of Ghosts | <3 #117 CHATGPT,"Chat teaches me the difference between a poltergeist and a regular old ghost and how places can potentially hold memories. One we're learned up on ghost 101, we dive into case studies. ",6/6/25,,n,,,,,,
118,chat,Surveying the Programming Landscape in 2025 | <3 #118 CHATGPT,We identify Chatgpt's take on the 10 most used languages across all disciplines of coding and learn about their uses. ,6/9/25,,n,,,,,,
119,chat,We Go Back to 1999 in the Height of Y2K | <3 #119 CHATGPT ,"We go back to a time when I was in 6th grade, not wondering about the looming, global computer bug that would surely show it's face on January first 2000 and what that could potentially mean. ",6/10/25,,n,,,,,,
120,grok,Storyteller Grok Comes Up With Image Prompts For Meta | <3 #120 GROK,Fun romp thru the fiction realm. Excited to see how Meta handles them. ,6/11/25,,n,,,,,,
121,chat,Character Development: Father of 2 Falling Prey to a Sinister Plot | <3 #121 CHATGPT,"We go deeper into the life of Adrian, father of 2, soon to come face to face with an nightmarish, drug-induced stupor whose cause is unknown. ",6/12/25,,y,,,,,,
122,chat,Building an Unsettling Opening Scene | <3 #122 CHATGPT,"Zoe, Olivia & Adrian start their story with a bad omen. ",6/13/25,,y,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,